Update,Environment Steps,Episodes Completed,Advantage Mean,Advantage Std,Return Mean,Policy Loss,Value Loss,Entropy,Clip Fraction,Approx KL
72,73728,1474,0.15601262,0.49772233,-22.771969,-0.008340132376179098,0.19209532472305,-0.8489455841481686,0.1908203125,0.015164711186662317
73,74752,1495,0.09897098,0.58220214,-22.855747,-0.0032720750954467804,0.20536915268748998,-0.8639676973223687,0.13583984375,0.010150064958725124
74,75776,1515,0.12851115,0.55525786,-22.907913,-0.0049914410396013405,0.19597037695348263,-0.8732581604272127,0.15771484375,0.011873033683514223
75,76800,1536,0.16447642,0.54684633,-22.214424,-0.0015972153400070966,0.2313826633617282,-0.8924251917749644,0.13857421875,0.010140700329793617
76,77824,1556,0.08683453,0.67269444,-22.597395,-0.006254971917951479,0.34780208570882676,-0.9079194720834494,0.161328125,0.011699298227904364
77,78848,1576,0.28058395,0.59459955,-21.334423,-0.00822415406582877,0.18948687980882822,-0.9304450731724501,0.17578125,0.013098393270047382
78,79872,1597,0.10942766,0.50152236,-21.634136,-0.006559116006246768,0.19501535864546896,-0.9545233719050884,0.189453125,0.014495398243889212
79,80896,1617,0.039370727,0.7088052,-21.61822,-0.007856236823135987,0.3247243559919298,-0.9690895225852728,0.1908203125,0.014834391156909987
80,81920,1638,0.28504223,0.6550295,-21.297604,-0.007504470174899325,0.24416112578473986,-0.9815905220806599,0.1681640625,0.012334931892110036
81,82944,1658,0.24033004,0.6746814,-20.620651,-0.002804854337591678,0.2889203688129783,-0.9889175526797771,0.1533203125,0.011668512260075658
82,83968,1679,0.2372855,0.5858498,-20.007805,-0.004980882519157603,0.2682414337992668,-0.993500404804945,0.18759765625,0.015224013110855594
83,84992,1699,-0.0011724643,0.6429056,-20.32116,-0.005456520064035431,0.2688844294287264,-0.9962263748049736,0.15419921875,0.01135306166834198
84,86016,1720,0.18855909,0.6006788,-20.553568,-0.003395012055989355,0.2704575532115996,-1.0030861064791678,0.19501953125,0.01563423638581298
85,87040,1740,0.106083825,0.6720387,-20.281597,-0.006838130511459895,0.34496941342949866,-1.011650274693966,0.18740234375,0.01446924259653315
86,88064,1761,0.022871941,0.5064702,-20.789192,-0.009926565125351772,0.17283745855093002,-1.0229403764009475,0.19765625,0.015573395870160312
87,89088,1781,0.23394725,0.4520299,-20.264687,-0.008312094086431899,0.15133924623951317,-1.0393588282167912,0.1712890625,0.01335149974329397
88,90112,1802,0.0066267624,0.5106943,-19.794117,-0.002593019529012963,0.19665651125833392,-1.0700758121907712,0.15732421875,0.012100596236996353
89,91136,1822,0.22815627,0.55369407,-18.433191,-0.0077467065653763715,0.20512736774981022,-1.1093476705253125,0.14970703125,0.010869312408613042
90,92160,1843,0.11227077,0.4831325,-18.676308,-0.002978044081828557,0.17894209893420338,-1.1453729785978795,0.1751953125,0.013341915578348563
91,93184,1863,0.06485999,0.45572495,-19.230026,0.0005371038685552775,0.13310584318824112,-1.1715334996581077,0.16943359375,0.013537885586265475
92,94208,1884,0.0994004,0.46933517,-19.544899,0.004740244161803275,0.1460001325700432,-1.1871429197490215,0.16748046875,0.012837883824249729
93,95232,1904,0.13076532,0.5439581,-18.980108,-0.003534999897237867,0.2071567685343325,-1.2075967229902744,0.12822265625,0.009995397494640202
94,96256,1925,0.09639284,0.43125916,-18.929832,-0.004027625388698652,0.10122097502462565,-1.224394079297781,0.16650390625,0.012822664220584557
95,97280,1945,-0.03181859,0.4501733,-19.246498,-0.007240672578336671,0.14206785205751657,-1.2358255177736281,0.199609375,0.01536827873205766
96,98304,1966,0.10014276,0.57585377,-18.610138,-0.002977034804644063,0.2103537708055228,-1.2524924866855145,0.1779296875,0.012598098698072135
97,99328,1986,0.17139968,0.4612626,-17.921446,-0.011290183567325585,0.14621677426621318,-1.2757026232779025,0.18037109375,0.01401661594863981
98,100352,2007,0.073377945,0.50812924,-18.670464,-0.0022957627254072575,0.17686336217448115,-1.3058053433895112,0.207421875,0.016571089456556366
99,101376,2027,0.26875308,0.45594087,-17.691908,-0.0005152180296136066,0.13292545648291706,-1.340946590155363,0.16767578125,0.011859653878491371
100,102400,2048,-0.026757829,0.6006121,-17.69197,0.0027811810723505914,0.2309104993008077,-1.368040145933628,0.1576171875,0.012551829690346494
